"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 01- 02","632.04","632.89","633.00","629.54","512.16K","0.10%"
"2017- 01- 03","636.57","633.30","636.65","633.10","622.54K","0.72%"
"2017- 01- 04","639.79","638.73","639.91","636.74","617.47K","0.51%"
"2017- 01- 05","642.48","642.01","642.64","640.87","811.28K","0.42%"
"2017- 01- 06","643.68","643.96","644.17","641.96","758.43K","0.19%"
"2017- 01- 09","642.15","645.92","645.92","642.15","667.26K","-0.24%"
"2017- 01- 10","636.73","642.85","643.25","636.26","802.07K","-0.84%"
"2017- 01- 11","637.90","637.56","639.29","637.19","918.74K","0.18%"
"2017- 01- 12","632.87","639.04","639.13","632.21","824.13K","-0.79%"
"2017- 01- 13","634.68","633.88","637.47","631.67","754.60K","0.29%"
"2017- 01- 16","627.88","636.77","636.80","627.28","649.97K","-1.07%"
"2017- 01- 17","624.00","628.30","630.16","623.49","752.49K","-0.62%"
"2017- 01- 18","626.89","624.87","626.89","621.70","673.24K","0.46%"
"2017- 01- 19","626.19","629.63","630.26","626.19","711.78K","-0.11%"
"2017- 01- 20","622.12","626.50","626.86","622.12","721.93K","-0.65%"
"2017- 01- 23","615.99","623.28","623.65","615.99","697.95K","-0.99%"
"2017- 01- 24","612.93","616.36","616.95","612.89","682.29K","-0.50%"
"2017- 01- 25","609.64","615.37","616.72","609.25","773.89K","-0.54%"
"2017- 01- 26","616.81","611.43","616.81","610.05","639.75K","1.18%"
"2017- 01- 31","616.13","616.77","618.32","615.06","727.04K","-0.11%"
"2017- 02- 01","623.68","617.30","623.68","617.26","938.21K","1.23%"
"2017- 02- 02","613.04","623.46","623.46","613.02","1.27M","-1.71%"
"2017- 02- 03","609.21","614.37","614.83","606.72","1.22M","-0.62%"
"2017- 02- 06","610.96","610.79","611.44","607.77","654.54K","0.29%"
"2017- 02- 07","608.72","611.65","612.62","606.59","683.06K","-0.37%"
"2017- 02- 08","608.79","609.72","609.84","604.75","722.44K","0.01%"
"2017- 02- 09","611.04","610.11","611.22","607.37","1.05M","0.37%"
